Name,Type,Build,Dir,minArea,maxArea,representativeArea,floorAreaRatio,minDeal,maxDeal,medianDeal,minLease,maxLease,medianLease,minDealUnit,maxDealUnit,medianDealUnit,minLeaseUnit,maxLeaseUnit,medianLeaseUnit,Lat,Lon,BUS,METRO,INFANT,PRESCHOOL,SCHOOLPOI,HOSPITAL,PARKING,MART,CONVENIENCE,WASHING,BANK,OFFICE,sector
대우멤버스카운티Ⅱ,아파트,200306,ES,155.89,173.95,155.0,241,230000,250000,230000,0,0,,4586,5332,4905,0,0,,37.522608,127.051463,13,1,9,2,19,0,25,1,3,15,25,6,청담동
호원,아파트,199912,ES,276.59,276.66,276.0,234,500000,500000,500000,0,0,,5989,5989,5989,0,0,,37.526781,127.047156,10,0,6,1,19,0,15,1,3,11,26,6,청담동
한신오페라하우스2차,아파트,200511,ES,140.91,140.91,140.0,242,0,0,,160000,160000,160000,0,0,,3778,3778,3778,37.518993,127.045638,6,0,7,1,19,0,4,0,5,5,23,6,청담동
청담그랑빌(주상복합),아파트,200411,ES,107.42,107.42,107.0,322,148000,148000,148000,0,0,,4572,4572,4572,0,0,,37.519083,127.049053,7,1,7,1,19,0,4,0,7,7,25,6,청담동
청담e-편한세상1차,아파트,200212,ES,101.41,165.32,101.0,296,208000,290000,220000,123000,200000,125000,5710,7855,7201,4007,4091,4091,37.520659,127.047856,10,0,8,2,19,0,13,0,10,13,30,6,청담동
청담아르지움(도시형),아파트,201502,ES,28.69,58.46,28.0,249,47000,139000,47000,0,0,,5165,7922,5549,0,0,,37.519788,127.048196,7,0,8,1,19,0,8,0,7,9,29,6,청담동
목화,아파트,199501,ES,149.56,149.56,149.0,336,300000,350000,345000,120000,140000,130000,6656,7765,7654,2662,3106,2884,37.528144,127.049903,4,0,5,1,19,0,13,1,2,7,23,6,청담동
현대2차,아파트,198805,ES,97.75,97.9,97.0,200,205000,220000,210000,80000,90000,80000,6986,7498,7157,2726,3067,2726,37.521593,127.040774,9,0,4,1,19,0,16,0,4,6,20,6,청담동
상지리츠빌9차,아파트,200404,ES,196.02,219.25,219.0,249,400000,400000,400000,300000,300000,,6038,6038,6038,5060,5060,,37.526913,127.04789,10,0,6,1,19,0,18,1,3,10,27,6,청담동
청담스위트(도시형),아파트,201503,ES,19.28,21.07,20.0,199,21700,26000,25000,20000,23000,21500,3587,4298,4132,3306,3802,3554,37.519286,127.047421,7,0,7,1,19,0,4,0,7,8,29,6,청담동
